Actor,Movie,TV Show
Scarlett Johansson::,Don Jon::Vanity Fair::Skin::,Scarlett (TV miniseries)::Smith::Skin (TV series)::
Maria Bamford::Judd Apatow::,Vanity Fair::,
,,Grady::George (1993 TV series)::
Olivia Wilde::Ron Howard::Spike Jonze::,Rush::Paul::Spike::,Smith::Olivia (TV series)::
Lucille Ball::James Dean::,Joe::,
,W.::Salinger::,
,September::Vanity Fair::,
Scarlett Johansson::,September::Don Jon::Vanity Fair::Skin::,Scarlett (TV miniseries)::Skin (TV series)::
Olivia Wilde::,September::Rush::Vanity Fair::,Olivia (TV series)::
,September::Vanity Fair::,
,September::Vanity Fair::,
,,The Jersey::Jersey Shore::Charm School (TV series)::
Kristen Stewart::,,
Gabourey Sidibe::,Precious::,
,Daniel::,
,Go::May::Georgia::,Go (game show)::
Jennifer Lawrence::,X-Men::,X-Men::
Emma Stone::,Stone::Emma::Power::,Stone (TV series)::Power (TV series)::
Mila Kunis::,,Baywatch::United States (TV series)::
,,
Marilyn Monroe::Elle Fanning::,,
Jane Seymour::,Alice in Wonderland::,Wonderland (TV series)::Alice::
Jesse Eisenberg::,,Jesse::
Dakota Fanning::Sean Penn::,November::I Am Sam::,
Elle Fanning::,November::Super 8::,Paris (1979 TV series)::
Brad Pitt::,,Made::
Katherine Heigl::,Roswell::,Roswell::
Charlize Theron::,,Made::
Justin Timberlake::,The Social Network::,
Jessica Biel::,Total Recall::,
,,
Jonah Hill::,I Heart Huckabees::,
Yaya DaCosta::Kat Dennings::Jessica Chastain::,September::The Brave::,
,,Made::
,,Made::
Kirsten Dunst::,,Made::
Melissa McCarthy::,,Made::
Shailene Woodley::,,Made::
Elizabeth Olsen::,Gone::Wind::,Made::
Charlize Theron::,,
James Franco::,,
,,Crush (U.S. game show)::
Martin Scorsese::,Hugo::,Martin::
,,
,,Crush (U.S. game show)::
,,
Denzel Washington::,,Crush (U.S. game show)::
,,
,,Crush (U.S. game show)::
,,
,Toy Story 3::Toys::,
,,Con (TV series)::
Adam Sandler::Maria Bello::,Grown Ups::Adam::,Grown Ups::
Andrew Garfield::,The Amazing Spider-Man::,Con (TV series)::The Amazing Spider-Man::
,The Smurfs 2::,The Smurfs::
,Toy Story 3::Toys::,
,Puss in Boots::,
Isabelle Fuhrman::,Orphan::,
,Firewall::,
,Cobra::Joe::,Cobra (TV series)::
,Jane Eyre::Michael::,
,Interview::,
Natalie Portman::,Interview::Black Swan::Your Highness::,
Michael Imperioli::Saoirse Ronan::,Michael::The Lovely Bones::,Bones::
Chris Evans::,Interview::The Avengers::Thor::Captain America::,
Selena Gomez::James Franco::Rachel Korine::Ashley Benson::,Interview::Spring Breakers::Selena::,Benson::
,Jane Eyre::Michael::,
Norman Reedus::,The Walking Dead::,Con (TV series)::The Walking Dead::
Melissa Rauch::Mayim Bialik::,The Big Bang::,The Big Bang Theory::
Nicolas Cage::Samuel L. Jackson::Kristen Bell::,Astro Boy::,Astro Boy::
,Brave::,
,Prime::Super::Transformers::,
,Toy Story 3::,
,,Con (TV series)::
Emma Stone::,Stone::Emma::Easy A::,Stone (TV series)::
Columbus Short::Chris Evans::,The Losers::Captain America::,
Ashton Kutcher::,Spread::,Nikki::
,Interview::,
James Franco::,127 Hours::,Danny (TV series)::
Jack Black::,Warrior::Jack::Kung Fu Panda 2::,Kung Fu::
Mandy Moore::Zachary Levi::,Tangled::,
Mackenzie Foy::Taylor Lautner::Kristen Stewart::,,Con (TV series)::
,,
Jesse Eisenberg::,Zombieland::,Jesse::
Kristen Stewart::,Interview::Eddie::Yellow::,
Adam Sandler::Kevin James::,Grown Ups::Adam::,Grown Ups::
,Firewall::Empire::,Boardwalk Empire::
Josh Gad::,,
,,
Jena Malone::,Malone::The Hunger Games::,
,The Hunger Games: Catching Fire::,
Elizabeth Banks::,The Hunger Games::,Lenny::
,,
Adam Driver::,Batman::Adam::,Batman::
Jennifer Lawrence::,The Hunger Games: Catching Fire::,
June Squibb::Will Forte::Bruce Dern::Bob Odenkirk::,,Bob::
Vince Vaughn::,,
Kristen Bell::,,
Jennifer Lawrence::,The Hunger Games::,
Woody Harrelson::,The Hunger Games::,
,Thor: The Dark World::,Agents of S.H.I.E.L.D.::
,,
Josh Hutcherson::Jennifer Lawrence::,,
,Rush::,
,Thor: The Dark World::,
Natalie Portman::,The Avengers::Thor::,
Chris Pratt::,,
,The Best Man Holiday::,Katie (talk show)::
,X-Men::,X-Men::
Chris Pratt::,Guardians of the Galaxy::Thor: The Dark World::,Katie (talk show)::Karen::
Lake Bell::,Interview::,
Hilary Swank::,Conviction::Gloria::,Gloria::Conviction::
Joy Behar::,Say Anything::Gloria::,Gloria::
,,The View::
,Ali::,Secret Millionaire::
,Ali::,The New Show::Secret Millionaire::
,Home::Ali::,Secret Millionaire::Home (TV series)::
,,
,,
Kathy Najimy::,Party::,Kathy::Rob (TV series)::Ellen::
Richard Grieco::,Interview::,Hotel::
,Interview::Bernie::,
,Red::,
Jen Lilley::Kelly Sullivan::,Interview::,General Hospital::
Marcia Cross::,,Ellen::
Marcia Cross::,,Good Morning America::
,,Chuck::Desperate Housewives::
Marcia Cross::Jesse James::,Last Days::,1986 (TV series)::Jesse::
,,Desperate Housewives::
Marcia Cross::,Bad Influence::,
Marcia Cross::,,
Marcia Cross::Jesse James::,Last Days::,1986 (TV series)::Jesse::
,,Desperate Housewives::
Marcia Cross::,Spin::,Spin City::
,,Desperate Housewives::
,,
,Big::,
,,George (1993 TV series)::
,Brothers::,Band of Brothers (TV miniseries)::
,,
,,
Laura Marano::,,Austin & Ally::
,,Turn (TV series)::
,,The Jeff Probst Show::
,Interview::,
,,
,,
Julie Newmar::,Interview::Kids::Health::,Julie::
Julie Newmar::,Catwoman::,Julie::
,Juice::,
,,
,August::Red::,
,The Great Gatsby::,
